State,County,Geographic Area Name,Population 16 years and over,Population 16 years and over: Labor Force Participation Rate,Population 16 years and over: Employment/Population Ratio,Population 16 years and over: Unemployment rate
02,063,"Chugach Census Area, Alaska",5590,69.7,61.5,8.8
02,066,"Copper River Census Area, Alaska",1982,61.6,56.7,6.5
02,068,"Denali Borough, Alaska",1881,75.4,71.5,1.9
02,070,"Dillingham Census Area, Alaska",3519,62.0,55.0,11.3
02,090,"Fairbanks North Star Borough, Alaska",75407,69.1,55.8,5.5
02,100,"Haines Borough, Alaska",1526,55.2,52.8,4.3
02,105,"Hoonah-Angoon Census Area, Alaska",2044,66.8,57.5,14.0
02,110,"Juneau City and Borough, Alaska",26255,66.6,62.3,4.5
02,122,"Kenai Peninsula Borough, Alaska",47627,57.5,53.0,7.2
02,130,"Ketchikan Gateway Borough, Alaska",11333,66.0,61.5,4.1
02,150,"Kodiak Island Borough, Alaska",10161,73.5,60.4,5.7
02,158,"Kusilvak Census Area, Alaska",5204,59.8,47.0,20.9
02,164,"Lake and Peninsula Borough, Alaska",763,74.3,63.8,14.0
02,170,"Matanuska-Susitna Borough, Alaska",83540,60.3,54.8,7.0
02,180,"Nome Census Area, Alaska",6951,65.6,54.3,16.5
02,185,"North Slope Borough, Alaska",8764,78.9,73.4,6.8
02,188,"Northwest Arctic Borough, Alaska",5175,60.2,50.9,15.5
02,195,"Petersburg Borough, Alaska",2845,62.4,58.7,4.4
02,198,"Prince of Wales-Hyder Census Area, Alaska",4713,63.0,58.2,7.5
02,220,"Sitka City and Borough, Alaska",6919,71.8,63.4,5.0
02,230,"Skagway Municipality, Alaska",1110,78.6,70.0,11.0
02,240,"Southeast Fairbanks Census Area, Alaska",5254,58.5,52.5,6.6
02,275,"Wrangell City and Borough, Alaska",1711,49.3,47.6,3.4
02,282,"Yakutat City and Borough, Alaska",463,70.8,69.5,1.8
02,290,"Yukon-Koyukuk Census Area, Alaska",4051,65.9,58.2,11.1
04,001,"Apache County, Arizona",50731,39.7,36.0,9.5
04,003,"Cochise County, Arizona",101985,50.1,43.3,6.8
04,005,"Coconino County, Arizona",119178,61.3,57.0,7.0
04,007,"Gila County, Arizona",44145,45.7,42.3,6.9
04,009,"Graham County, Arizona",29531,50.6,47.6,6.0
04,011,"Greenlee County, Arizona",7232,59.1,57.4,3.0
04,012,"La Paz County, Arizona",14269,43.0,38.3,10.7
04,013,"Maricopa County, Arizona",3526945,65.0,61.7,4.8
04,015,"Mohave County, Arizona",183139,44.8,41.4,7.5
04,017,"Navajo County, Arizona",82333,45.7,41.3,9.7
04,019,"Pima County, Arizona",855402,58.4,54.1,5.9
04,021,"Pinal County, Arizona",348601,52.6,49.0,6.4
04,023,"Santa Cruz County, Arizona",36907,57.2,51.5,9.8
04,025,"Yavapai County, Arizona",205150,48.7,46.3,4.9
04,027,"Yuma County, Arizona",158869,53.9,47.1,8.3
05,001,"Arkansas County, Arkansas",13456,58.0,54.2,6.5
05,003,"Ashley County, Arkansas",15261,45.8,43.0,6.0
05,005,"Baxter County, Arkansas",35398,45.8,43.4,5.1
05,007,"Benton County, Arkansas",221207,66.6,64.6,2.9
05,009,"Boone County, Arkansas",29957,56.7,54.2,4.4
05,011,"Bradley County, Arkansas",8159,48.6,45.9,5.6
05,013,"Calhoun County, Arkansas",4019,45.0,40.9,9.1
05,015,"Carroll County, Arkansas",23028,53.1,51.2,3.1
05,017,"Chicot County, Arkansas",8236,45.1,40.2,10.9
05,019,"Clark County, Arkansas",17770,58.0,55.5,4.1
05,021,"Clay County, Arkansas",11874,56.8,53.6,5.6
05,023,"Cleburne County, Arkansas",20860,48.0,45.0,6.0
05,025,"Cleveland County, Arkansas",6167,47.8,47.4,0.8
05,027,"Columbia County, Arkansas",18448,51.7,50.0,3.2
05,029,"Conway County, Arkansas",16542,58.3,54.2,7.1
05,031,"Craighead County, Arkansas",86323,63.5,59.7,5.9
05,033,"Crawford County, Arkansas",47526,55.0,51.8,5.3
05,035,"Crittenden County, Arkansas",36397,62.4,55.9,10.4
05,037,"Cross County, Arkansas",13299,59.6,54.7,8.1
05,039,"Dallas County, Arkansas",5348,52.5,49.1,6.0
05,041,"Desha County, Arkansas",8742,48.9,46.4,5.2
05,043,"Drew County, Arkansas",13880,53.2,51.5,3.2
05,045,"Faulkner County, Arkansas",99496,61.1,58.6,3.3
05,047,"Franklin County, Arkansas",13845,51.3,48.7,5.1
05,049,"Fulton County, Arkansas",9987,43.4,42.5,1.7
05,051,"Garland County, Arkansas",82799,54.2,51.1,5.7
05,053,"Grant County, Arkansas",14534,55.6,53.5,3.3
05,055,"Greene County, Arkansas",36327,59.4,54.9,7.5
05,057,"Hempstead County, Arkansas",15474,52.3,50.0,4.4
05,059,"Hot Spring County, Arkansas",27403,49.2,46.8,4.6
05,061,"Howard County, Arkansas",9913,57.5,53.8,6.4
05,063,"Independence County, Arkansas",29916,56.7,53.6,5.2
05,065,"Izard County, Arkansas",11682,38.8,35.9,7.5
05,067,"Jackson County, Arkansas",13879,47.8,42.6,10.9
05,069,"Jefferson County, Arkansas",54513,50.8,46.8,7.8
05,071,"Johnson County, Arkansas",20239,51.8,49.2,4.8
05,073,"Lafayette County, Arkansas",5288,48.4,44.1,8.7
05,075,"Lawrence County, Arkansas",13117,53.0,49.5,6.7
05,077,"Lee County, Arkansas",7241,40.8,35.0,14.3
05,079,"Lincoln County, Arkansas",11377,32.9,31.6,4.0
05,081,"Little River County, Arkansas",9621,57.0,52.4,8.0
05,083,"Logan County, Arkansas",17324,56.6,53.5,5.5
05,085,"Lonoke County, Arkansas",58060,62.5,57.6,4.5
05,087,"Madison County, Arkansas",13214,56.1,53.4,4.8
05,089,"Marion County, Arkansas",14205,45.7,42.4,7.0
05,091,"Miller County, Arkansas",33912,51.7,47.7,7.7
05,093,"Mississippi County, Arkansas",31158,60.4,54.4,9.8
05,095,"Monroe County, Arkansas",5470,47.6,42.4,11.0
05,097,"Montgomery County, Arkansas",7227,48.5,45.0,7.3
05,099,"Nevada County, Arkansas",6589,51.3,47.3,7.8
05,101,"Newton County, Arkansas",6098,49.6,47.5,3.8
05,103,"Ouachita County, Arkansas",18127,50.2,46.9,6.5
05,105,"Perry County, Arkansas",8159,49.3,47.1,4.6
05,107,"Phillips County, Arkansas",12480,52.6,45.3,13.3
05,109,"Pike County, Arkansas",8256,53.1,51.3,3.1
05,111,"Poinsett County, Arkansas",18088,54.9,52.1,5.1
05,113,"Polk County, Arkansas",15465,54.6,49.6,9.0
05,115,"Pope County, Arkansas",50734,56.3,53.5,4.8
05,117,"Prairie County, Arkansas",6895,54.0,51.6,4.1
05,119,"Pulaski County, Arkansas",316156,63.1,59.0,5.2
05,121,"Randolph County, Arkansas",14615,52.9,48.9,7.5
05,123,"St. Francis County, Arkansas",18708,45.7,42.5,6.6
05,125,"Saline County, Arkansas",98704,62.5,59.9,3.8
05,127,"Scott County, Arkansas",7824,55.3,52.1,5.7
05,129,"Searcy County, Arkansas",6513,47.3,44.6,5.2
05,131,"Sebastian County, Arkansas",101367,60.5,56.9,5.2
05,133,"Sevier County, Arkansas",11924,60.3,57.6,4.6
05,135,"Sharp County, Arkansas",14263,47.0,43.9,6.2
05,137,"Stone County, Arkansas",10213,40.4,38.3,5.4
05,139,"Union County, Arkansas",30706,54.9,52.9,3.7
05,141,"Van Buren County, Arkansas",13234,43.0,41.0,4.7
05,143,"Washington County, Arkansas",195388,64.7,61.9,4.3
05,145,"White County, Arkansas",61517,55.3,52.4,5.2
05,147,"Woodruff County, Arkansas",5078,55.5,51.8,6.7
05,149,"Yell County, Arkansas",16243,57.4,55.0,3.9
06,001,"Alameda County, California",1369015,67.0,63.6,4.9
06,003,"Alpine County, California",1216,55.8,53.1,4.9
06,005,"Amador County, California",35155,48.1,45.2,6.0
06,007,"Butte County, California",175591,58.6,54.3,7.1
06,009,"Calaveras County, California",39074,47.4,44.4,6.2
06,011,"Colusa County, California",16640,63.1,58.5,7.4
06,013,"Contra Costa County, California",936669,65.1,61.2,5.8
06,015,"Del Norte County, California",22214,47.6,44.6,6.3
06,017,"El Dorado County, California",158941,58.2,55.3,4.6
06,019,"Fresno County, California",757385,61.3,55.9,8.6
06,021,"Glenn County, California",22011,61.6,56.8,7.7
06,023,"Humboldt County, California",113440,58.9,53.3,9.2
06,025,"Imperial County, California",133938,52.3,45.2,13.2
06,027,"Inyo County, California",15261,57.1,54.3,4.9
06,029,"Kern County, California",674370,58.5,53.2,8.4
06,031,"Kings County, California",115794,55.1,45.7,9.2
06,033,"Lake County, California",54938,51.7,46.2,10.4
06,035,"Lassen County, California",26981,36.5,33.5,7.9
06,037,"Los Angeles County, California",8086852,64.8,60.2,7.0
06,039,"Madera County, California",119464,56.5,50.1,11.1
06,041,"Marin County, California",216526,63.3,59.5,5.8
06,043,"Mariposa County, California",14593,53.0,49.7,6.2
06,045,"Mendocino County, California",74216,56.5,51.3,9.1
06,047,"Merced County, California",209553,59.3,52.8,10.7
06,049,"Modoc County, California",7182,48.3,44.4,7.6
06,051,"Mono County, California",10907,69.5,66.7,1.9
06,053,"Monterey County, California",336819,60.6,55.7,5.3
06,055,"Napa County, California",113817,63.4,60.1,5.2
06,057,"Nevada County, California",86971,54.4,51.8,4.4
06,059,"Orange County, California",2578680,65.6,62.0,5.4
06,061,"Placer County, California",328419,60.8,57.9,4.3
06,063,"Plumas County, California",16685,50.0,45.9,8.0
06,065,"Riverside County, California",1904350,60.7,56.4,6.7
06,067,"Sacramento County, California",1255070,63.5,59.4,6.3
06,069,"San Benito County, California",50143,68.0,63.7,6.2
06,071,"San Bernardino County, California",1681263,62.1,56.8,7.2
06,073,"San Diego County, California",2669130,66.2,59.0,6.3
06,075,"San Francisco County, California",747568,70.4,66.6,5.4
06,077,"San Joaquin County, California",595894,61.3,56.8,7.2
06,079,"San Luis Obispo County, California",238471,58.6,55.1,5.0
06,081,"San Mateo County, California",622496,67.8,64.7,4.5
06,083,"Santa Barbara County, California",357739,62.7,58.3,6.0
06,085,"Santa Clara County, California",1558542,67.4,64.3,4.4
06,087,"Santa Cruz County, California",224553,63.5,59.7,5.9
06,089,"Shasta County, California",146933,55.6,51.9,6.6
06,091,"Sierra County, California",2539,51.9,49.0,5.6
06,093,"Siskiyou County, California",36147,49.8,46.0,7.4
06,095,"Solano County, California",363323,63.2,58.4,5.9
06,097,"Sonoma County, California",406104,64.6,61.0,5.2
06,099,"Stanislaus County, California",420900,61.4,56.3,8.2
06,101,"Sutter County, California",76738,60.6,55.1,7.6
06,103,"Tehama County, California",51596,53.6,49.6,7.4
06,105,"Trinity County, California",13601,41.5,38.2,7.4
06,107,"Tulare County, California",346679,60.7,55.1,9.0
06,109,"Tuolumne County, California",46547,48.8,44.7,8.3
06,111,"Ventura County, California",676993,64.5,60.5,5.3
06,113,"Yolo County, California",177536,61.3,57.8,5.3
06,115,"Yuba County, California",61690,59.3,51.3,7.4
08,001,"Adams County, Colorado",402806,71.9,68.5,4.6
08,003,"Alamosa County, Colorado",12957,63.1,60.9,3.4
08,005,"Arapahoe County, Colorado",522983,71.4,67.8,4.6
08,007,"Archuleta County, Colorado",11360,55.4,52.6,4.8
08,009,"Baca County, Colorado",2782,54.6,53.7,1.7
08,011,"Bent County, Colorado",4752,37.5,35.4,5.5
08,013,"Boulder County, Colorado",276576,67.4,64.4,4.4
08,014,"Broomfield County, Colorado",60251,71.9,69.5,3.2
08,015,"Chaffee County, Colorado",17043,54.7,51.4,6.0
08,017,"Cheyenne County, Colorado",1337,67.7,66.3,2.1
08,019,"Clear Creek County, Colorado",8484,69.3,65.9,4.7
08,021,"Conejos County, Colorado",5851,56.5,52.4,7.2
08,023,"Costilla County, Colorado",3009,43.7,40.8,6.6
08,025,"Crowley County, Colorado",5003,34.2,31.8,7.2
08,027,"Custer County, Colorado",4185,51.4,48.9,4.9
08,029,"Delta County, Colorado",25808,49.6,47.4,4.4
08,031,"Denver County, Colorado",591639,74.0,70.4,4.7
08,033,"Dolores County, Colorado",2080,53.2,51.6,3.1
08,035,"Douglas County, Colorado",284098,72.3,69.4,3.4
08,037,"Eagle County, Colorado",45585,73.9,70.5,4.4
08,039,"Elbert County, Colorado",21881,66.4,64.8,2.3
08,041,"El Paso County, Colorado",577141,68.6,59.3,5.7
08,043,"Fremont County, Colorado",42093,42.3,40.0,4.8
08,045,"Garfield County, Colorado",48171,73.0,70.7,3.2
08,047,"Gilpin County, Colorado",4990,73.2,71.6,2.1
08,049,"Grand County, Colorado",13447,68.5,65.3,4.6
08,051,"Gunnison County, Colorado",14694,73.6,70.9,3.6
08,053,"Hinsdale County, Colorado",819,51.6,50.7,1.9
08,055,"Huerfano County, Colorado",5991,44.6,41.8,6.4
08,057,"Jackson County, Colorado",1262,57.0,52.3,8.2
08,059,"Jefferson County, Colorado",483453,69.4,66.6,3.9
08,061,"Kiowa County, Colorado",1047,62.0,62.0,0.0
08,063,"Kit Carson County, Colorado",5386,68.0,66.2,2.6
08,065,"Lake County, Colorado",6318,74.7,72.9,2.4
08,067,"La Plata County, Colorado",46877,64.5,62.4,3.2
08,069,"Larimer County, Colorado",299918,67.3,64.0,4.6
08,071,"Las Animas County, Colorado",12153,51.8,48.0,7.4
08,073,"Lincoln County, Colorado",4726,47.3,45.9,2.3
08,075,"Logan County, Colorado",17609,61.2,59.2,3.2
08,077,"Mesa County, Colorado",127308,61.6,58.3,5.3
08,079,"Mineral County, Colorado",707,61.7,58.3,4.8
08,081,"Moffat County, Colorado",10233,63.6,59.7,5.4
08,083,"Montezuma County, Colorado",21147,53.8,51.4,4.4
08,085,"Montrose County, Colorado",35126,55.5,52.9,4.3
08,087,"Morgan County, Colorado",22251,64.4,62.1,3.7
08,089,"Otero County, Colorado",14754,51.6,48.6,5.9
08,091,"Ouray County, Colorado",4405,51.9,49.8,4.2
08,093,"Park County, Colorado",15294,58.8,56.6,3.9
08,095,"Phillips County, Colorado",3416,61.6,60.8,1.4
08,097,"Pitkin County, Colorado",14920,71.9,70.4,2.1
08,099,"Prowers County, Colorado",9195,61.2,58.5,4.4
08,101,"Pueblo County, Colorado",135075,55.8,52.1,5.9
08,103,"Rio Blanco County, Colorado",5142,60.1,56.4,6.1
08,105,"Rio Grande County, Colorado",9299,60.8,57.0,6.0
08,107,"Routt County, Colorado",21071,67.7,65.6,2.9
08,109,"Saguache County, Colorado",5436,55.1,49.5,10.0
08,111,"San Juan County, Colorado",613,67.0,62.2,7.3
08,113,"San Miguel County, Colorado",6915,74.2,71.4,3.7
08,115,"Sedgwick County, Colorado",1933,57.5,55.6,3.3
08,117,"Summit County, Colorado",26567,75.9,73.1,3.7
08,119,"Teller County, Colorado",21031,57.1,54.8,3.8
08,121,"Washington County, Colorado",3886,60.9,58.8,3.5
08,123,"Weld County, Colorado",255302,69.6,66.1,4.9
08,125,"Yuma County, Colorado",7469,68.9,65.0,5.7
09,110,"Capitol Planning Region, Connecticut",801672,65.7,62.0,5.6
09,120,"Greater Bridgeport Planning Region, Connecticut",263341,65.9,60.8,7.7
09,130,"Lower Connecticut River Valley Planning Region, Connecticut",149119,66.4,63.6,4.1
09,140,"Naugatuck Valley Planning Region, Connecticut",370005,65.8,61.5,6.4
09,150,"Northeastern Connecticut Planning Region, Connecticut",79137,66.2,61.1,7.4
09,160,"Northwest Hills Planning Region, Connecticut",93842,65.4,61.8,5.4
09,170,"South Central Connecticut Planning Region, Connecticut",472048,65.2,61.1,6.1
09,180,"Southeastern Connecticut Planning Region, Connecticut",232700,64.4,58.7,5.3
09,190,"Western Connecticut Planning Region, Connecticut",499627,68.3,64.5,5.6
10,001,"Kent County, Delaware",145431,61.6,56.2,6.0
10,003,"New Castle County, Delaware",463864,66.1,62.3,5.4
10,005,"Sussex County, Delaware",201972,54.3,51.4,5.0
11,001,"District of Columbia, District of Columbia",556781,72.0,66.3,7.1
12,001,"Alachua County, Florida",235217,59.7,56.6,5.1
12,003,"Baker County, Florida",22039,55.5,52.2,4.9
12,005,"Bay County, Florida",147703,61.9,57.5,4.0
12,007,"Bradford County, Florida",22998,49.5,46.3,5.8
12,009,"Brevard County, Florida",514152,56.2,53.0,4.9
12,011,"Broward County, Florida",1582982,66.1,62.2,5.8
12,013,"Calhoun County, Florida",11319,41.4,39.9,3.7
12,015,"Charlotte County, Florida",170362,42.4,39.9,5.7
12,017,"Citrus County, Florida",135149,39.4,36.5,7.2
12,019,"Clay County, Florida",175564,63.0,59.0,4.3
12,021,"Collier County, Florida",324396,52.1,49.9,4.3
12,023,"Columbia County, Florida",56109,52.8,48.9,6.9
12,027,"DeSoto County, Florida",28791,47.7,43.0,9.7
12,029,"Dixie County, Florida",14143,40.6,38.5,5.1
12,031,"Duval County, Florida",796287,65.6,60.8,4.7
12,033,"Escambia County, Florida",261744,60.8,53.5,6.2
12,035,"Flagler County, Florida",100395,50.0,48.0,3.8
12,037,"Franklin County, Florida",10473,44.6,40.6,8.9
12,039,"Gadsden County, Florida",34979,49.2,47.0,4.3
12,041,"Gilchrist County, Florida",14996,52.3,50.7,3.1
12,043,"Glades County, Florida",10669,35.7,33.8,5.4
12,045,"Gulf County, Florida",13056,42.4,40.5,4.3
12,047,"Hamilton County, Florida",11088,36.6,33.2,9.2
12,049,"Hardee County, Florida",19725,50.0,45.6,8.7
12,051,"Hendry County, Florida",30989,62.3,58.8,5.8
12,053,"Hernando County, Florida",164792,50.9,47.8,5.9
12,055,"Highlands County, Florida",87203,43.5,40.5,6.8
12,057,"Hillsborough County, Florida",1184791,65.3,61.6,4.8
12,059,"Holmes County, Florida",16106,49.3,46.7,4.7
12,061,"Indian River County, Florida",139495,48.5,45.3,5.9
12,063,"Jackson County, Florida",39988,42.5,40.3,4.7
12,065,"Jefferson County, Florida",12275,52.2,48.5,6.7
12,067,"Lafayette County, Florida",6839,47.1,42.5,8.6
12,069,"Lake County, Florida",322054,53.7,50.7,5.5
12,071,"Lee County, Florida",656226,53.1,50.7,4.5
12,073,"Leon County, Florida",245867,65.0,61.2,5.7
12,075,"Levy County, Florida",35654,50.5,48.3,4.4
12,077,"Liberty County, Florida",6534,42.4,39.0,8.2
12,079,"Madison County, Florida",15075,42.4,41.3,2.7
12,081,"Manatee County, Florida",342046,54.2,51.2,5.2
12,083,"Marion County, Florida",316405,47.9,45.0,5.9
12,085,"Martin County, Florida",136703,51.3,49.0,4.4
12,086,"Miami-Dade County, Florida",2211003,63.8,60.8,4.6
12,087,"Monroe County, Florida",70880,63.6,59.6,3.4
12,089,"Nassau County, Florida",75622,57.7,54.7,4.1
12,091,"Okaloosa County, Florida",170014,64.6,55.6,3.3
12,093,"Okeechobee County, Florida",32474,50.4,47.3,6.1
12,095,"Orange County, Florida",1153231,67.1,63.2,5.5
12,097,"Osceola County, Florida",310997,65.0,61.5,5.3
12,099,"Palm Beach County, Florida",1246799,59.5,56.1,5.8
12,101,"Pasco County, Florida",468117,55.8,52.6,5.3
12,103,"Pinellas County, Florida",826650,58.7,55.7,4.6
12,105,"Polk County, Florida",594132,56.6,53.9,4.6
12,107,"Putnam County, Florida",59578,47.7,43.5,8.9
12,109,"St. Johns County, Florida",225790,60.5,57.5,4.4
12,111,"St. Lucie County, Florida",276707,55.9,52.4,6.0
12,113,"Santa Rosa County, Florida",152728,59.1,53.0,4.7
12,115,"Sarasota County, Florida",386174,49.0,47.3,3.4
12,117,"Seminole County, Florida",385816,67.3,64.3,4.3
12,119,"Sumter County, Florida",123477,24.5,23.2,5.1
12,121,"Suwannee County, Florida",36058,50.5,47.7,5.5
12,123,"Taylor County, Florida",17882,40.1,37.7,5.8
12,125,"Union County, Florida",12596,35.3,33.6,3.6
12,127,"Volusia County, Florida",472602,54.1,51.8,4.2
12,129,"Wakulla County, Florida",27724,57.5,55.4,3.6
12,131,"Walton County, Florida",62663,58.3,54.9,5.3
12,133,"Washington County, Florida",20496,44.4,42.3,4.8
13,001,"Appling County, Georgia",14411,53.2,51.3,3.3
13,003,"Atkinson County, Georgia",6401,59.0,56.3,4.6
13,005,"Bacon County, Georgia",8640,51.6,49.2,4.3
13,007,"Baker County, Georgia",2377,43.1,37.9,12.2
13,009,"Baldwin County, Georgia",36567,49.5,46.0,7.0
13,011,"Banks County, Georgia",14950,57.8,56.3,2.5
13,013,"Barrow County, Georgia",65498,66.8,64.1,4.0
13,015,"Bartow County, Georgia",86585,63.8,60.2,5.5
13,017,"Ben Hill County, Georgia",13540,55.4,52.4,5.0
13,019,"Berrien County, Georgia",14392,53.4,50.4,4.6
13,021,"Bibb County, Georgia",122654,57.5,52.9,7.5
13,023,"Bleckley County, Georgia",10406,51.3,48.1,6.1
13,025,"Brantley County, Georgia",14380,50.3,48.6,3.3
13,027,"Brooks County, Georgia",13129,53.1,50.5,4.9
13,029,"Bryan County, Georgia",33430,69.4,60.5,5.5
13,031,"Bulloch County, Georgia",65685,60.1,55.0,8.3
13,033,"Burke County, Georgia",19116,58.3,55.2,5.2
13,035,"Butts County, Georgia",20798,51.4,49.3,4.0
13,037,"Calhoun County, Georgia",4837,37.4,33.1,11.4
13,039,"Camden County, Georgia",43299,62.2,50.8,4.7
13,043,"Candler County, Georgia",8586,54.1,52.0,3.9
13,045,"Carroll County, Georgia",94925,62.9,59.1,5.9
13,047,"Catoosa County, Georgia",54727,62.1,59.7,3.7
13,049,"Charlton County, Georgia",10515,52.0,47.5,8.3
13,051,"Chatham County, Georgia",240905,64.6,59.2,6.3
13,053,"Chattahoochee County, Georgia",7411,80.6,20.2,8.4
13,055,"Chattooga County, Georgia",19821,48.5,46.2,4.7
13,057,"Cherokee County, Georgia",212952,68.9,66.3,3.7
13,059,"Clarke County, Georgia",109197,61.6,58.1,5.3
13,061,"Clay County, Georgia",2371,49.5,47.7,3.5
13,063,"Clayton County, Georgia",224412,66.2,61.5,6.8
13,065,"Clinch County, Georgia",5295,48.8,47.5,2.6
13,067,"Cobb County, Georgia",612443,70.3,66.9,4.6
13,069,"Coffee County, Georgia",33635,55.3,52.7,4.3
13,071,"Colquitt County, Georgia",35398,58.2,54.6,6.1
13,073,"Columbia County, Georgia",122465,65.3,59.7,5.1
13,075,"Cook County, Georgia",13391,61.1,56.4,5.5
13,077,"Coweta County, Georgia",117138,64.4,62.4,2.8
13,079,"Crawford County, Georgia",9963,54.9,50.3,8.1
13,081,"Crisp County, Georgia",16062,58.5,53.7,8.2
13,083,"Dade County, Georgia",13375,56.0,52.9,5.5
13,085,"Dawson County, Georgia",22687,63.3,60.0,4.6
13,087,"Decatur County, Georgia",22565,53.0,48.9,6.4
13,089,"DeKalb County, Georgia",605987,68.6,64.1,6.4
13,091,"Dodge County, Georgia",16593,48.1,46.6,2.9
13,093,"Dooly County, Georgia",9670,44.2,40.9,7.5
13,095,"Dougherty County, Georgia",66929,56.1,50.0,10.0
13,097,"Douglas County, Georgia",112789,66.8,62.3,6.6
13,099,"Early County, Georgia",8470,53.8,50.3,6.0
13,101,"Echols County, Georgia",2976,65.2,63.9,2.0
13,103,"Effingham County, Georgia",50024,65.9,61.7,5.3
13,105,"Elbert County, Georgia",15810,58.3,53.9,7.5
13,107,"Emanuel County, Georgia",17744,56.9,51.8,8.9
